Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,57.874126,57.881718,53.609074,74.099998,56.234886,504732000
2007-02-01,56.599182,57.752693,54.018887,71.680000,54.398331,401419000
2007-03-01,54.035526,58.189205,52.602734,75.449997,57.503265,611224400
2007-04-01,57.427048,61.641666,57.373699,79.379997,60.498447,451394900
2007-05-01,60.589916,64.263428,60.246944,83.169998,63.386971,443527200
2007-06-01,63.959145,66.270737,61.884823,83.879997,64.204063,506912200
2007-07-01,64.678627,71.659340,64.387756,85.129997,65.160866,559643700
2007-08-01,65.053696,67.281082,60.285084,85.730003,65.620117,687544000
2007-09-01,65.559662,71.976555,64.460739,92.559998,71.131218,446258200
2007-10-01,71.046677,73.213814,68.910271,91.989998,70.693169,513452200
2007-11-01,69.033249,69.893936,64.068810,89.160004,68.518341,548075900
2007-12-01,68.638161,73.367294,67.666084,93.690002,72.279510,386223600
2008-01-01,72.634377,73.089554,59.827885,85.699997,66.115417,614692200
2008-02-01,67.658356,69.563904,61.995743,87.010002,67.126083,491055000
2008-03-01,67.276306,68.570229,63.510780,84.580002,65.533012,608218000
2008-04-01,65.703453,73.552231,65.285057,93.070000,72.111107,483071200
2008-05-01,69.809914,74.474243,67.872910,88.760002,68.771675,575856500
2008-06-01,68.557503,70.433105,65.973656,88.129997,68.588623,565696300
2008-07-01,68.386276,69.756027,61.560883,80.430000,62.595993,685444100
2008-08-01,62.689365,63.428738,59.257217,80.010002,62.269112,543017900
2008-09-01,61.046101,64.143776,55.938084,77.660004,60.748875,770778000
2008-10-01,60.381214,63.948238,44.204460,74.120003,57.979721,1384259200
2008-11-01,57.455620,63.385021,52.832588,80.150002,62.696655,1006470600
2008-12-01,61.279160,65.802925,57.180241,79.830002,62.805431,996412900
2009-01-01,62.986378,65.086983,58.226574,76.480003,60.169830,844182900
2009-02-01,59.839424,63.332527,53.419628,67.900002,53.419628,771508100
2009-03-01,52.977154,56.527420,48.912945,68.099998,53.846943,933460300
2009-04-01,53.008793,56.258595,51.000404,66.669998,52.716240,632859600
2009-05-01,53.079964,56.448349,51.870182,69.349998,54.835335,530458500
2009-06-01,56.045456,59.521481,54.152363,69.910004,55.607998,596987800
2009-07-01,56.212521,57.898811,51.272942,70.389999,55.989799,560318900
2009-08-01,56.443188,57.182934,52.569481,69.150002,55.003471,437664700
2009-09-01,55.163387,56.883968,54.283077,68.610001,54.907303,419180700
2009-10-01,54.731228,60.021084,52.906586,71.669998,57.356163,501283200
2009-11-01,57.660278,61.253517,56.851986,75.070000,60.077103,356438100
2009-12-01,61.175373,61.416862,54.446083,68.190002,54.888809,648945000
2010-01-01,55.315434,56.828709,51.532207,64.430000,51.862225,596474300
2010-02-01,52.940853,54.116055,51.161926,65.000000,52.321045,534843200
2010-03-01,52.954052,55.003838,52.727192,66.980003,54.266544,582728200
2010-04-01,54.501503,56.713329,54.161228,67.769997,54.906593,531285400
2010-05-01,55.182072,55.271194,47.363731,60.459999,48.984112,768609600
2010-06-01,49.251507,52.612160,46.429214,57.070000,46.551567,808522600
2010-07-01,46.478161,50.475056,45.629841,59.680000,48.680531,613489500
2010-08-01,49.463589,51.380478,47.350945,59.110001,48.215584,475629700
2010-09-01,49.324619,51.296291,49.061733,61.790001,50.762302,423362300
2010-10-01,51.197716,54.886391,50.770512,66.489998,54.623474,430427600
2010-11-01,54.812450,59.067944,54.738495,69.559998,57.145599,486318500
2010-12-01,58.183304,60.919682,58.183304,73.120003,60.448460,409237200
2011-01-01,60.944489,66.814056,60.878349,80.680000,66.698326,449380100
2011-02-01,67.078598,72.939926,66.995926,85.529999,70.707840,443594000
2011-03-01,71.811798,71.886597,65.487434,84.129997,69.916985,439334000
2011-04-01,70.407333,73.133179,68.462624,87.980003,73.116570,309722400
2011-05-01,73.216301,73.241219,66.002701,83.470001,69.368477,403834500
2011-06-01,69.828781,69.912354,64.120445,81.379997,68.015137,444344200
2011-07-01,67.856354,71.383308,66.661186,79.790001,66.686272,375467600
2011-08-01,67.547112,67.848030,56.021809,74.019997,61.863857,774165900
2011-09-01,62.381767,63.080040,57.148941,72.629997,61.103008,550523400
2011-10-01,60.615074,69.154167,58.225788,78.089996,65.696472,514198800
2011-11-01,63.786747,67.749222,62.171467,80.440002,67.673515,444321100
2011-12-01,67.873627,72.469063,66.570313,84.760002,71.732765,380150300
2012-01-01,72.756790,74.424019,70.632568,83.739998,70.869537,333545900
2012-02-01,71.284218,74.330894,70.404060,86.500000,73.205338,300700700
2012-03-01,73.580498,74.244225,71.521217,86.730003,73.801727,338912600
2012-04-01,73.691109,74.601593,69.674667,86.339996,73.469864,300234500
2012-05-01,73.571976,74.473953,66.721924,78.629997,66.909157,353685200
2012-06-01,66.718910,73.427628,66.084885,85.570000,73.316261,497990800
2012-07-01,73.204887,75.269768,70.968636,86.849998,74.412949,314314800
2012-08-01,74.558632,76.177971,73.256294,87.300003,74.798538,248010000
2012-09-01,75.310486,79.829292,74.611992,91.449997,78.863441,254195800
2012-10-01,79.156631,80.777893,77.337051,91.169998,78.621979,241112300
2012-11-01,77.828590,79.380852,73.352921,88.139999,76.009003,285676100
2012-12-01,76.840683,78.420021,73.499771,86.550003,75.105133,282441200
2013-01-01,76.181183,79.773720,75.703903,89.970001,78.072899,261496700
2013-02-01,78.480743,78.532829,76.024994,89.550003,77.708458,237182000
2013-03-01,77.785706,79.453743,76.763947,90.110001,78.693962,265045600
2013-04-01,78.711411,79.462456,74.248795,88.989998,77.715836,296347200
2013-05-01,77.305397,81.654472,76.397156,90.470001,79.008347,276095000
2013-06-01,79.607666,81.137733,77.400482,90.349998,79.449387,291767600
2013-07-01,79.484566,83.969254,79.106430,93.750000,82.439171,237784200
2013-08-01,81.507080,81.867599,75.967163,87.160004,76.644249,271631600
2013-09-01,77.652122,79.573509,75.801590,86.040001,76.182312,238532800
2013-10-01,76.138054,80.538620,75.075523,89.620003,79.352142,287672200
2013-11-01,79.458405,85.001190,78.156807,93.480003,82.769897,250351200
2013-12-01,83.145874,90.696495,82.833885,101.199997,90.215118,269290800
2014-01-01,89.680237,90.232933,81.746307,92.160004,82.156364,256867500
2014-02-01,81.942413,86.693863,79.562233,96.269997,85.820244,253283700
2014-03-01,85.970215,88.744301,83.501358,97.680000,87.693924,255698300
2014-04-01,87.666985,92.084015,86.401146,102.410004,91.940376,230896100
2014-05-01,91.536369,92.874054,90.064034,100.529999,90.252571,179886600
2014-06-01,90.865326,94.553085,90.015686,100.680000,91.000900,208876600
2014-07-01,91.425705,94.688667,89.419136,98.940002,89.428185,189374200
2014-08-01,89.138962,90.774925,88.244118,99.459999,89.898186,187451500
2014-09-01,90.497139,90.642754,85.209099,94.050003,85.600479,231833300
2014-10-01,85.655090,88.185318,79.101952,96.709999,88.021500,342094700
2014-11-01,87.884979,88.467484,82.014450,90.540001,82.405823,218128400
2014-12-01,82.835754,87.391914,79.012993,92.449997,84.751732,400812400
2015-01-01,84.568398,85.301773,78.866318,87.419998,80.140572,326724000
2015-02-01,80.534760,85.668457,80.213921,88.540001,81.167328,276447700
2015-03-01,81.593529,81.759773,76.365791,85.000000,78.508621,330260500
