Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,232.129913,255.542160,229.694046,500.126953,249.813644,250106500
2007-02-01,252.055237,252.060211,220.692795,448.219421,223.885818,228680500
2007-03-01,220.508484,232.129913,217.684067,456.905609,228.224564,237115900
2007-04-01,228.025299,245.330444,225.215836,470.089386,234.809875,186612000
2007-05-01,235.213364,253.440048,227.850952,496.546753,248.025345,199907700
2007-06-01,249.564575,266.496094,247.865936,521.268860,260.374054,259062100
2007-07-01,261.763855,278.247070,248.508530,508.603638,254.047760,234133400
2007-08-01,254.296829,262.426361,239.332916,513.839294,256.662964,178064000
2007-09-01,256.548401,284.827393,254.486130,565.716858,282.575836,139346100
2007-10-01,283.920807,352.179932,283.741455,705.064270,352.179932,312065000
2007-11-01,350.082794,372.224823,306.859802,691.102600,345.206085,344233500
2007-12-01,344.214813,361.046722,325.031708,689.586731,344.448914,171265700
2008-01-01,345.141327,347.382935,258.530975,562.754944,281.096375,316759700
2008-02-01,263.347900,269.509796,222.590683,469.889954,234.710251,355697700
2008-03-01,234.874634,235.477371,205.285538,439.264008,219.412582,292320500
2008-04-01,223.034012,291.337982,219.676605,572.717590,286.072723,287159100
2008-05-01,288.075226,300.100159,267.900848,584.196106,291.806244,210048000
2008-06-01,290.162415,292.922058,256.583252,524.978699,262.227112,188269900
2008-07-01,258.819885,276.802490,231.930664,472.452911,235.990448,208950000
2008-08-01,235.372772,254.376541,230.087570,462.021545,230.779984,138142500
2008-09-01,237.494812,240.189713,189.644165,399.423401,199.512177,269160000
2008-10-01,204.807327,207.711441,154.142242,358.376099,179.009033,400083000
2008-11-01,178.122360,185.484756,123.188263,292.157898,145.933014,317248800
2008-12-01,142.804733,164.134781,130.799728,306.807678,153.250580,226859600
2009-01-01,153.723801,175.507156,140.847076,337.603119,168.632919,220585000
2009-02-01,166.520844,189.788620,164.159683,337.064606,168.363937,224005300
2009-03-01,166.042633,178.909409,144.184555,347.107025,173.380127,228802600
2009-04-01,171.248123,201.121155,169.669037,394.885864,197.245682,176322100
2009-05-01,196.777435,207.835983,191.626740,416.087646,207.835983,114496100
2009-06-01,208.583176,222.834763,200.194626,420.435730,210.007843,141448000
2009-07-01,211.307968,225.504745,197.250656,441.836945,220.697769,146580000
2009-08-01,223.532150,236.289337,218.461151,460.405975,229.973007,97840300
2009-09-01,228.981720,252.553375,225.449951,494.492401,246.999191,102539800
2009-10-01,245.579514,279.771362,240.398926,534.652100,267.058990,154925200
2009-11-01,267.537201,292.433899,263.133698,581.403809,290.411469,82117100
2009-12-01,292.966888,311.826202,288.508606,618.282532,308.832428,85558100
2010-01-01,312.304413,313.579620,261.823608,528.489075,263.980530,178867200
2010-02-01,266.301849,272.727753,259.029083,525.357666,262.416412,104456600
2010-03-01,263.611908,293.041595,262.884644,565.567261,282.501129,168175200
2010-04-01,284.608215,297.803772,259.542175,524.260620,261.868439,146668000
2010-05-01,262.266968,265.464966,229.141129,484.300354,241.908264,163731700
2010-06-01,239.317978,253.674164,221.529648,443.731750,221.644226,120172800
2010-07-01,221.813583,247.821106,216.005356,483.522522,241.519730,139137800
2010-08-01,243.582001,253.350388,222.989182,448.787872,224.169754,106104600
2010-09-01,226.640503,267.422638,225.405121,524.350464,261.913300,119847700
2010-10-01,264.010437,311.203522,258.456238,612.019714,305.704132,159288700
2010-11-01,306.715363,314.247131,275.621887,554.188477,276.817413,117319800
2010-12-01,280.448822,302.366669,280.149933,592.343750,295.875977,84885300
2011-01-01,297.126312,320.279510,296.663025,598.716248,299.059052,120416700
2011-02-01,301.116333,314.411499,299.552216,611.720581,305.554718,84049700
2011-03-01,307.736542,308.453827,274.610687,585.153503,292.284454,120726500
2011-04-01,293.280701,296.483704,258.530975,542.610291,271.034088,141007800
2011-05-01,271.831116,271.846069,255.741425,527.571594,263.522247,90993400
2011-06-01,263.034088,265.604462,235.626816,504.993561,252.244522,118691200
2011-07-01,252.423859,312.578369,252.244522,602.037109,300.717834,162716400
2011-08-01,304.468781,306.600800,244.513504,539.478882,269.469971,214349100
2011-09-01,269.365356,278.217163,254.296829,513.629822,256.558350,117696900
2011-10-01,253.973053,300.224670,239.402664,591.017395,295.213470,155007600
2011-11-01,288.966888,307.995544,279.616913,597.748901,298.575867,121050800
2011-12-01,298.879730,322.172424,298.381592,644.131531,321.744019,110505700
2012-01-01,325.250885,333.873566,281.220917,578.521667,288.971863,147835300
2012-02-01,291.377838,311.631927,288.488678,616.557251,307.970642,95082200
2012-03-01,309.968170,328.065338,295.811218,639.484314,319.422729,95012700
2012-04-01,319.188599,325.350494,293.998016,603.193970,301.295685,118194700
2012-05-01,300.767639,317.734070,288.418945,579.269653,289.345459,117784500
2012-06-01,284.827393,292.847351,277.220917,578.481812,288.951935,93355200
2012-07-01,289.823669,320.100189,279.995514,631.236938,315.303162,102955500
2012-08-01,317.460083,343.208557,310.541016,683.214233,341.265839,94477000
2012-09-01,340.996857,381.016846,335.492493,752.434204,375.841248,120804300
